default,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_X2,EDUCATION_X1,EDUCATION_X2,EDUCATION_X3,EDUCATION_X4,EDUCATION_X5,EDUCATION_X6,MARRIAGE_X1,MARRIAGE_X2,MARRIAGE_X3
0,36e4,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0,18e4,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,13e4,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3e3,1537,1e3,2e3,930,33764,1,0,0,1,0,0,0,0,1,0
1,45e4,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,1,0,0,0,0,0,1,0,0
0,9e4,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2e3,0,1,0,0,0,0,0,0,1,0
1,6e4,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1e3,0,500,0,1e3,0,1,0,0,0,0,0,0,1,0
0,5e4,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1e3,1500,1e3,1012,1,0,0,1,0,0,0,0,1,0
0,5e4,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,1,0,0,1,0,0,0,1,0,0
0,5e4,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1e3,1e3,1600,0,0,1,0,0,0,0,0,0,1,0
0,23e4,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,1,1,0,0,0,0,0,0,1,0
1,5e4,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1e3,1e3,1e3,716,0,0,1,0,0,0,0,0,1,0
0,1e5,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,1,0,0,0,0,0,0,1,0
0,5e5,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,1,0,1,0,0,0,0,1,0,0
0,5e5,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,1,0,0,0,0,0,1,0,0
0,16e4,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,1,0,0,0,0,0,0,1,0
0,28e4,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,0,1,0,0,0,0,1,0,0
0,7e4,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3e3,4500,4042,2500,2800,2500,1,1,0,0,0,0,0,0,1,0
0,1e4,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1e3,300,1e3,500,0,0,1,0,0,0,0,0,1,0
0,14e4,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3e3,3e3,3e3,4e3,4e3,3e3,1,0,1,0,0,0,0,1,0,0
1,21e4,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,7e4,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2e3,0,1500,1500,0,0,0,1,0,0,0,0,1,0
0,31e4,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,1,0,1,0,0,0,0,1,0,0
0,18e4,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,1,1,0,0,0,0,0,0,1,0
0,5e5,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,1,1,0,0,0,0,0,1,0,0
0,18e4,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9e3,2e3,1,0,0,1,0,0,0,1,0,0
0,18e4,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,1,0,1,0,0,0,0,1,0,0
0,2e5,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,1,1,0,0,0,0,0,0,1,0
1,5e5,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1e3,1e3,2e3,2e3,1,0,0,1,0,0,0,1,0,0
0,7e4,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1e3,2e3,3e3,0,0,0,1,0,0,0,0,1,0,0
1,5e4,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1e3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,13e4,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,1,0,1,0,0,0,0,1,0,0
0,21e4,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,1,1,0,0,0,0,0,0,1,0
0,2e4,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1e3,500,1e3,0,0,0,0,0,0,1,0,0,1,0
0,8e4,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,1,0,0,0,0,0,0,1,0
1,32e4,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,0,0,1,0,0,0,0,0,1,0
0,29e4,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,1,1,0,0,0,0,0,0,1,0
0,5e4,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1e3,1e3,0,0,0,1,0,0,0,0,1,0
0,3e5,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,1,1,0,0,0,0,0,1,0,0
1,3e4,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3e3,1765,0,1,0,1,0,0,0,0,0,1,0
1,24e4,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,47e4,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3e3,960,1e3,3e3,1,0,0,1,0,0,0,0,0,1
0,36e4,26,0,0,0,0,0,-1,23411,27796,30400,33100,18e4,196,4796,3400,3100,146900,196,2963,1,1,0,0,0,0,0,0,1,0
1,6e4,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,0,0,0,1,0,0,0,0,1,0
0,4e5,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3e3,3200,2800,1,0,1,0,0,0,0,1,0,0
0,5e4,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,1,0,0,1,0,0,0,0,1,0
1,36e4,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,1,0,0,0,0,0,1,0,0
0,16e4,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2e3,2e3,0,766,2303,1,0,1,0,0,0,0,0,1,0
0,2e4,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1e3,2e3,0,1500,0,0,0,1,0,0,0,0,1,0
1,2e5,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5e3,5e3,0,1,0,0,0,0,0,1,0,0
0,28e4,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,1e5,27,-2,-2,-2,-2,-2,-2,-2e3,5555,0,0,0,0,7555,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,6e4,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,1,0,1,0,0,0,0,0,1,0
0,9e4,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,0,1,0,0,0,0,0,1,0
0,36e4,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27e3,0,68978,0,1,0,0,0,0,0,1,0,0
0,15e4,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0,1,0,0,0,0,0,0,1,0
0,5e4,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,1,0,0,1,0,0,0,1,0,0
1,2e4,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,0,0,1,0,0,0,0,1,0,0
0,48e4,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17e3,0,18e3,24200,0,1,0,0,0,0,0,1,0,0
1,5e4,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,0,0,1,0,0,0,0,1,0
0,6e4,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5e3,2511,6,3e3,3e3,1,0,1,0,0,0,0,0,1,0
0,7e4,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2e3,1,0,1,0,0,0,0,0,1,0
0,13e4,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,0,0,1,0,0,0,0,0,1,0
0,36e4,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,5e4,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2e3,1e3,1e3,1e3,1e3,1e3,0,0,0,1,0,0,0,1,0,0
0,28e4,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5e3,0,0,1,0,0,0,0,1,0,0
0,1e5,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2e3,2677,3076,5080,3e3,2033,1,1,0,0,0,0,0,0,1,0
0,5e4,41,0,0,0,0,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,0,0,1,0,0,0,0,0,1,0
1,3e4,24,-1,2,0,0,3,2,18199,17618,18631,21319,20692,21201,0,1312,3e3,0,1e3,1e3,0,1,0,0,0,0,0,0,1,0
1,8e4,26,2,0,0,0,0,0,14029,15493,16630,17055,17629,18186,2e3,1700,1e3,1e3,1e3,1e3,0,0,1,0,0,0,0,0,1,0
1,45e4,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,11e4,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
1,31e4,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,1,0,1,0,0,0,0,1,0,0
0,2e4,27,0,0,0,0,0,0,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,0,1,0,0,0,0,0,0,1,0
0,2e4,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2e5,52,0,0,0,0,0,0,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,0,0,0,1,0,0,0,0,1,0
1,5e4,51,0,0,0,0,0,0,3347,3899,4503,5347,6375,7077,1e3,1066,1300,1500,1200,134,0,0,1,0,0,0,0,1,0,0
0,6e4,55,3,2,2,0,0,0,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,0,0,0,1,0,0,0,1,0,0
0,3e4,23,1,-2,-2,-2,-1,-1,4e3,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,1,1,0,0,0,0,0,0,1,0
0,42e4,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,0,0,1,0,0,0,0,1,0,0
0,3e4,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,-780,2e3,1400,0,500,0,1560,1,0,1,0,0,0,0,0,1,0
0,24e4,34,0,0,0,2,2,2,10674,12035,13681,13269,14158,13891,1500,1800,0,1e3,0,327,0,0,1,0,0,0,0,1,0,0
0,15e4,27,0,0,0,0,0,0,17444,19342,22e3,24614,27200,30229,2500,3e3,3e3,3e3,3500,5e3,0,1,0,0,0,0,0,0,1,0
0,21e4,33,0,0,0,0,0,0,7166,7997,8792,9189,4404,5708,1500,1500,1e3,500,2e3,546,1,0,1,0,0,0,0,1,0,0
1,5e4,51,-1,-1,-1,-1,-2,-2,752,300,5880,0,0,0,300,5880,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,5e4,24,0,0,0,0,0,0,50801,50143,49586,19430,19375,18995,2360,1700,1e3,900,870,2130,0,1,0,0,0,0,0,0,1,0
0,18e4,28,-1,-1,-1,-1,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,0,0,1,0,0,0,0,0,1,0
0,5e4,23,1,2,2,2,0,0,10131,10833,20583,19996,19879,18065,1e3,1e4,400,700,800,600,0,0,1,0,0,0,0,0,1,0
0,17e4,29,-2,-2,-2,-2,-2,-2,12159,1e4,1e4,1e4,9983,15846,1e4,1e4,1e4,9983,15863,1e4,0,0,1,0,0,0,0,0,1,0
1,17e4,27,0,0,0,0,0,0,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,1,0,1,0,0,0,0,0,1,0
0,8e4,23,1,2,3,2,0,0,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,1,1,0,1,0,0,0,0,1,0,0
0,14e4,32,0,0,0,0,2,0,86627,78142,68336,64648,58319,55251,3455,3110,5e3,0,2100,2602,0,0,1,0,0,0,0,1,0,0
0,35e4,41,1,-1,-1,-1,-1,-2,208,2906,1e3,630,0,0,2906,1e3,630,0,0,0,0,1,0,0,0,0,0,0,1,0
0,28e4,56,0,0,0,0,0,0,208775,182350,132257,101783,177145,169311,8042,6700,5137,1e5,7e3,6321,1,0,1,0,0,0,0,1,0,0
0,3e4,26,0,0,0,0,0,0,9014,10406,11427,11935,13084,14206,1700,1500,1e3,1500,1500,1500,1,0,0,1,0,0,0,0,1,0
0,14e4,34,0,0,0,0,0,0,23944,28049,32073,43129,47086,48699,5e3,5e3,11885,5e3,3e3,5504,0,1,0,0,0,0,0,1,0,0
0,2e5,37,0,0,0,0,0,0,105420,102870,89643,90938,92505,94031,4e3,3250,3250,3500,3560,5e3,1,1,0,0,0,0,0,0,1,0
0,2e5,30,0,0,0,0,0,0,196031,196143,189524,167163,146975,122324,7300,7108,7680,6200,5e3,4500,1,0,0,1,0,0,0,0,1,0
1,21e4,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,0,0,0,1,0,0,0,1,0,0
0,3e4,41,2,2,2,2,2,0,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,1250,0,1,0,0,0,0,0,0,1,0
0,5e4,27,2,-1,-1,-1,-1,2,390,390,780,216,1080,540,390,780,216,864,0,390,0,0,1,0,0,0,0,0,1,0
0,25e4,34,0,0,2,0,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,1,1,0,0,0,0,0,1,0,0
0,6e4,46,0,0,0,0,0,0,21148,23803,24908,26034,26655,27756,3e3,1500,1500,1e3,1500,1500,1,0,1,0,0,0,0,1,0,0
0,11e4,27,0,0,0,0,0,0,101640,104795,104855,74737,76058,77254,5500,3900,3e3,2900,3e3,2800,1,1,0,0,0,0,0,0,1,0
0,37e4,50,-2,-2,-2,-2,-2,-2,6093,15130,8204,15398,4792,13453,15383,8204,15413,4792,13453,4699,0,1,0,0,0,0,0,0,1,0
0,1e5,27,-1,2,2,0,0,0,102349,96847,58824,29336,22979,-246,3166,0,1330,1398,12,5e4,0,0,1,0,0,0,0,1,0,0
0,9e4,35,0,0,0,0,0,2,72112,73854,75526,77317,85852,88290,3500,3500,3652,1e4,4e3,0,1,0,1,0,0,0,0,1,0,0
0,27e4,37,0,0,0,0,0,0,37695,33397,30534,27598,26344,24641,5e3,2e3,3e3,4e3,3e3,2e3,0,0,1,0,0,0,0,0,1,0
0,5e4,22,-1,0,0,0,0,0,8567,15273,11650,7457,3115,7725,15e3,1e3,149,0,5e3,1e4,1,0,1,0,0,0,0,0,1,0
1,5e4,24,1,-2,-2,-2,-2,-2,-709,-709,-709,-2898,-3272,-3272,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,36e4,29,1,-2,-1,-1,-2,-2,0,0,77,0,0,0,0,77,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,8e4,30,-2,-1,0,0,0,0,6187,100,600,1438,1919,5380,504,500,1e3,500,3500,0,0,1,0,0,0,0,0,0,1,0
0,5e4,30,1,2,0,0,0,2,48860,47801,48363,30221,22877,22361,0,1500,1e3,2e3,0,2e3,0,0,1,0,0,0,0,0,1,0
0,2e4,22,0,0,0,0,0,0,16001,12622,13221,13130,14034,14906,1212,1201,500,1500,1500,1e3,1,0,1,0,0,0,0,0,1,0
0,8e4,29,0,0,2,0,0,0,77883,81811,80250,61467,10662,11486,5800,1e3,600,400,1e3,0,1,0,1,0,0,0,0,1,0,0
0,24e4,37,-1,-1,2,0,0,-1,12212,26578,25331,26605,26279,1256,15e3,0,2e3,0,1256,65935,0,1,0,0,0,0,0,0,1,0
0,8e4,35,0,-1,0,0,0,0,49608,12412,14873,17364,17770,17460,12500,6500,3e3,2e3,3e3,2e3,1,0,0,1,0,0,0,0,1,0
0,5e5,47,0,0,0,0,0,0,56422,110616,110340,122967,108834,70064,70010,30357,3e4,2e4,52183,2e4,1,1,0,0,0,0,0,1,0,0
1,6e4,24,0,0,0,0,0,0,58024,57891,48839,18971,19323,19395,2500,1600,3e3,1e3,737,2e3,1,0,1,0,0,0,0,1,0,0
0,2e4,25,0,0,0,0,0,-1,10642,11677,13070,12280,1615,1620,1200,1593,601,135,1824,0,0,0,1,0,0,0,0,0,1,0
1,2e5,47,2,2,2,2,2,2,199436,202947,193936,196186,200162,189915,8214,7e3,6800,7134,0,6836,1,0,0,1,0,0,0,0,1,0
0,13e4,34,1,-1,0,0,0,0,0,5396,10270,13576,13864,14636,5396,5e3,3500,501,1e3,2e3,1,0,1,0,0,0,0,1,0,0
0,31e4,32,0,0,0,0,0,0,59901,62147,62102,65875,60387,43328,10020,6031,10057,5028,5060,4223,0,1,0,0,0,0,0,0,1,0
1,6e4,27,2,0,0,0,2,0,19625,20347,21669,23005,22499,22873,1342,1664,2e3,0,900,846,1,1,0,0,0,0,0,0,1,0
0,18e4,29,-1,-1,-1,-2,-1,0,11386,199,0,0,17227,17042,199,0,0,17227,341,5114,1,1,0,0,0,0,0,0,1,0
0,18e4,24,-1,-1,2,0,0,-2,14670,22087,21282,10200,0,0,37867,0,200,0,0,0,1,1,0,0,0,0,0,0,1,0
0,5e4,36,0,0,0,0,-1,-1,47790,18114,18250,-14,72,658,2e3,1e3,2e3,500,1e3,20011,0,0,1,0,0,0,0,1,0,0
1,5e4,24,1,2,2,2,2,2,36166,37188,37680,38462,39228,40035,1900,1400,1700,1532,1600,0,1,1,0,0,0,0,0,0,1,0
0,2e4,22,0,0,0,0,-1,0,18553,19446,19065,8332,18868,19247,1500,1032,541,2e4,693,1e3,1,1,0,0,0,0,0,0,1,0
0,5e5,34,-2,-2,-2,-1,-1,-1,412,138,2299,1251,1206,1151,138,2299,1251,1206,1151,15816,1,1,0,0,0,0,0,1,0,0
1,3e4,22,1,2,2,0,0,0,29010,29256,28122,29836,1630,0,1e3,85,1714,104,0,0,1,0,0,1,0,0,0,0,1,0
0,18e4,38,-2,-2,-2,-2,-2,-2,750,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0,14e4,31,0,0,2,0,0,2,27123,27299,17985,20225,27407,10833,25e3,0,3e3,7800,0,2500,0,1,0,0,0,0,0,0,1,0
0,14e4,26,-1,0,-1,-1,-1,-1,13424,18e3,13001,5818,13506,487,1e4,13001,5841,13506,487,7004,1,1,0,0,0,0,0,0,1,0
0,12e4,26,0,0,0,0,0,0,107314,110578,113736,116e3,119131,122135,5e3,5e3,4152,5e3,5e3,5e3,0,0,1,0,0,0,0,0,1,0
0,36e4,48,0,0,0,0,0,0,226430,231878,234192,190211,173557,146511,9100,7300,5800,5600,5600,4100,1,0,1,0,0,0,0,1,0,0
0,2e4,43,-1,-1,0,0,0,0,227,20351,20237,19339,19450,19337,22359,1305,1258,1459,3457,1700,0,0,0,1,0,0,0,1,0,0
1,21e4,41,-1,-1,-1,-1,-1,-1,3088,1586,343,3763,877,0,1586,343,3763,877,0,419,1,0,1,0,0,0,0,1,0,0
1,8e4,24,0,0,0,0,0,0,81625,81554,79599,49552,49509,49568,3200,3e3,2038,2e3,1800,1800,1,0,1,0,0,0,0,0,1,0
0,33e4,50,-1,-1,-1,-1,-2,-2,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,1,1,0,0,0,0,0,1,0,0
0,22e4,24,0,0,0,-1,-1,-1,105607,108917,111520,8303,0,85632,5e3,5050,8303,0,85632,0,0,1,0,0,0,0,0,0,1,0
1,21e4,38,1,-2,-1,0,-1,-1,0,0,250,123,789,1222,0,250,0,789,1222,9616,1,1,0,0,0,0,0,1,0,0
0,4e4,43,0,0,0,0,0,0,38257,38901,38103,36207,33138,31339,1700,1504,1200,1500,1500,1e3,1,0,0,1,0,0,0,1,0,0
0,3e4,39,0,0,0,2,0,0,28347,28108,18388,12992,7736,8032,3036,2309,0,1e3,2e3,148,0,0,1,0,0,0,0,0,1,0
0,8e4,36,2,0,0,0,0,0,79278,78501,78534,80016,76235,78245,3100,3500,3400,3e3,3500,3e3,0,0,1,0,0,0,0,0,1,0
0,33e4,45,0,0,0,0,0,0,335196,334954,335527,333860,335760,330121,12388,12378,12116,12450,12213,11678,1,0,0,1,0,0,0,0,1,0
0,17e4,28,0,0,0,0,0,0,130370,131199,128900,125514,127280,128839,6530,4860,22500,4820,4877,4962,1,1,0,0,0,0,0,0,1,0
0,35e4,44,-1,-1,-1,-1,-1,-2,3265,2686,1864,569,0,0,2686,1864,569,0,0,0,0,0,0,1,0,0,0,1,0,0
0,2e4,37,0,0,0,0,0,0,16455,16511,18902,18768,18650,19175,1609,3e3,663,676,834,782,0,0,1,0,0,0,0,1,0,0
1,5e4,23,2,0,0,0,0,0,49758,48456,44116,21247,20066,18858,2401,2254,2004,704,707,1004,0,0,1,0,0,0,0,0,1,0
0,2e4,24,1,2,0,0,0,0,19154,18165,17233,7630,1730,0,0,1333,500,100,0,3200,1,0,0,1,0,0,0,0,1,0
0,5e4,24,0,0,0,0,0,0,35084,35796,30937,19420,10385,1308,2090,2002,1002,238,1011,389,1,1,0,0,0,0,0,0,1,0
0,5e4,26,0,0,-2,-1,-1,0,102800,0,0,2624,45567,46557,0,0,2624,45567,1747,2e3,0,0,1,0,0,0,0,1,0,0
1,19e4,34,2,0,0,0,2,2,129801,131383,134379,142323,140120,150052,5e3,5e3,1e4,0,12118,2769,0,0,1,0,0,0,0,0,1,0
0,6e4,33,0,0,0,0,0,0,58203,36367,20934,20694,20175,19421,1506,1298,1e3,721,811,599,1,0,1,0,0,0,0,1,0,0
0,8e4,35,-1,-1,-1,-1,-1,-1,7988,3977,6848,1719,1378,19942,3983,6853,1719,1378,19942,2418,0,1,0,0,0,0,0,0,1,0
0,21e4,31,-2,-2,-2,-2,-1,-1,1440,0,7422,893,6082,2293,0,7422,893,6082,2293,3299,1,1,0,0,0,0,0,0,1,0
1,24e4,50,0,0,0,0,0,0,234205,231669,214642,207642,210375,214694,10116,9150,8008,8e3,8009,7714,1,0,0,1,0,0,0,1,0,0
1,14e4,41,0,0,0,0,0,0,19346,21708,22940,19068,16409,16383,3e3,2e3,2198,1e3,3e3,2399,1,0,1,0,0,0,0,0,0,1
0,5e4,39,0,0,0,0,0,0,47174,47974,48630,50803,30789,15874,1800,2e3,3e3,2e3,2e3,2e3,0,1,0,0,0,0,0,0,1,0
0,5e4,27,0,0,0,0,0,0,26655,27724,28676,27990,28790,29399,1800,1750,900,1200,1200,1100,1,0,1,0,0,0,0,0,1,0
0,18e4,32,-1,-1,2,2,-1,-1,3139,5853,2821,0,2821,0,2821,0,0,2821,0,176,1,1,0,0,0,0,0,0,1,0
0,3e4,40,-1,-1,2,2,2,2,142,215,139,19,19,79,355,120,0,0,60,60,1,1,0,0,0,0,0,0,1,0
0,2e4,40,0,0,0,0,0,-2,19816,20396,20102,19575,0,0,1601,2203,2114,0,0,0,1,0,1,0,0,0,0,0,1,0
0,1e5,27,0,0,0,0,0,0,37767,34457,30036,30337,30997,32904,1788,1799,1100,1150,2423,0,1,0,1,0,0,0,0,0,1,0
0,5e4,26,1,2,2,0,0,0,50867,51486,48869,30115,29527,29998,1710,136,1206,2002,2005,3003,1,0,1,0,0,0,0,0,1,0
